data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
148,COCC11263538,'202301010242522701025199,'202301010246042701026327,COCV_549,9000,2023-01-01 03:06:27.0,SHP,SHP,null,null,
149,COCC11263544,'202301010253182701031354,'202301010258002701032432,COCV_545,9000,2023-01-01 03:07:34.0,SHP,SHP,null,leon.laura_m,
150,COCC11263545,'202301010254182701031552,'202301010258002701032451,COCV_262,9000,2023-01-01 13:20:23.0,SHP,SHP,null,null,
151,COCC11263545,'202301010254182701031552,'202301011323542703340226,COCV_660,9000,2023-01-01 20:47:19.0,SHP,SHP,null,obando.maribel_m,
152,COCC11263548,'202301010258122701032496,'202301010302042701036992,COCV_190,9000,2023-01-01 12:02:44.0,SHP,SHP,null,rodriguez.yudy_m,
153,COCC11263551,'202301010314342701042466,'202301010323232701045877,COCV_181,9000,2023-01-01 12:13:58.0,SHP,SHP,null,vargas.nathaly_m,
154,COCC11263552,'202301010318332701042762,'202301010321232701045584,COCV_556,9000,2023-01-01 03:41:28.0,SHP,SHP,null,null,
155,COCC11263552,'202301010318332701042762,'202301010345102701053836,COCV_696,9000,2023-01-01 20:52:29.0,SHP,SHP,null,martinez.marly_m,
156,COCC11263554,'202301010331002701049447,'202301010343102701053473,COCV_545,9000,2023-01-01 03:48:54.0,SHP,SHP,BO,leon.laura_m,
157,COCC11263554,'202301010331002701049447,'202301010351072701058507,COCV_181,9000,2023-01-01 04:11:28.0,SHP,SHP,null,null,
158,COCC11263558,'202301010347502701054313,'202301010355012701058814,COCV_411,9000,2023-01-01 06:07:10.0,SHP,SHP,null,arenas.jenny_m,
159,COCC11263559,'202301010350032701054867,'202301010419232701068414,COCV_411,9000,2023-01-01 11:01:26.0,SHP,SHP,null,arenas.jenny_m,
160,COCC11263560,'202301010358572701059328,'202301010411002701067510,COCV_411,9000,2023-01-01 04:15:38.0,SHP,SHP,BO,arenas.jenny_m,
161,COCC11263560,'202301010358572701059328,'202301010417232701068225,COCV_190,9000,2023-01-01 05:53:27.0,SHP,SHP,null,ulloa.estephany_m,
